Date,Open,High,Low,Close,Volume
08/13/2021,"289.48","292.90","289.30","292.85","18,249,051"
08/12/2021,"286.63","289.97","286.34","289.81","14,570,390"
08/11/2021,"287.21","288.66","285.86","286.95","13,955,930"
08/10/2021,"288.80","289.25","285.20","286.44","18,616,580"
08/09/2021,"289.75","291.55","287.81","288.33","16,117,630"
08/06/2021,"288.51","289.50","287.62","289.46","16,589,340"
08/05/2021,"286.88","289.63","286.10","289.52","13,900,170"
08/04/2021,"286.22","287.59","284.65","286.51","16,191,300"
08/03/2021,"285.42","287.23","284.00","287.12","17,879,051"
08/02/2021,"286.36","286.78","283.74","284.82","16,267,360"
07/30/2021,"285.17","286.66","283.91","284.91","20,944,850"
07/29/2021,"286.24","288.62","286.08","286.50","18,168,289"
07/28/2021,"288.99","290.15","283.83","286.22","33,566,848"
07/27/2021,"289.43","289.58","282.95","286.54","33,604,070"
07/26/2021,"289.00","289.69","286.64","289.05","23,176,070"
07/23/2021,"287.37","289.99","286.50","289.67","22,768,070"
07/22/2021,"283.84","286.42","283.42","286.14","23,384,061"
07/21/2021,"278.91","281.52","277.29","281.40","24,364,320"
07/20/2021,"278.03","280.97","276.26","279.32","26,259,740"
07/19/2021,"278.93","280.37","274.45","277.01","32,935,629"
07/16/2021,"282.07","284.10","279.46","280.75","26,186,850"
07/15/2021,"282.00","282.51","279.83","281.03","22,604,230"
07/14/2021,"282.35","283.66","280.55","282.51","23,113,660"
07/13/2021,"277.52","282.85","277.39","280.98","26,120,131"
07/12/2021,"279.16","279.77","276.58","277.32","18,931,699"
07/09/2021,"275.72","278.05","275.32","277.94","23,916,670"
07/08/2021,"276.90","278.73","274.87","277.42","24,618,590"
07/07/2021,"279.40","280.69","277.15","279.93","23,260,029"
07/06/2021,"278.03","279.37","274.30","277.66","31,565,561"
07/02/2021,"272.82","278.00","272.50","277.65","26,474,410"
07/01/2021,"269.61","271.84","269.60","271.60","16,725,320"
06/30/2021,"270.69","271.36","269.60","270.90","21,656,461"
06/29/2021,"268.87","271.65","267.98","271.40","19,937,811"
06/28/2021,"266.19","268.90","265.91","268.72","19,590,020"
06/25/2021,"266.23","267.25","264.76","265.02","25,611,109"
06/24/2021,"266.16","267.85","265.47","266.69","21,446,869"
06/23/2021,"265.99","266.83","264.43","265.28","19,518,680"
06/22/2021,"262.72","265.79","262.40","265.51","24,694,090"
06/21/2021,"259.82","263.52","257.92","262.63","26,696,119"
06/18/2021,"259.63","262.30","258.75","259.43","37,202,219"
