Date,Open,High,Low,Close,Adj Close,Volume
8/15/2018,63.040001,63.669998,60.799999,61.970001,61.970001,1752700
8/16/2018,62.77,62.810001,61.09,62.200001,62.200001,1523300
8/17/2018,62.099998,62.150002,60.849998,61.709999,61.709999,911500
8/20/2018,61.560001,62.119999,60.91,61.700001,61.700001,864300
8/21/2018,61.919998,63.049999,61.68,61.830002,61.830002,681200
8/22/2018,61.380001,63.450001,61.25,63.400002,63.400002,972600
8/23/2018,63.799999,65.099998,63.645,64.589996,64.589996,967000
8/24/2018,65.18,66.870003,65.050003,66.760002,66.760002,1616700
8/27/2018,67.370003,67.779999,66.330002,67.010002,67.010002,1244800
8/28/2018,67.419998,67.959999,66.769997,67.309998,67.309998,669000
8/29/2018,67.559998,69.440002,67.544998,69.230003,69.230003,1387900
8/30/2018,68.970001,69.980003,68.620003,69.400002,69.400002,908000
8/31/2018,69,69.629997,68.370003,68.889999,68.889999,1584600
9/4/2018,68.839996,69.760002,67.900002,69.68,69.68,895000
9/5/2018,69.699997,69.699997,66.379997,67.980003,67.980003,1763300
9/6/2018,68,68.625,67.360001,67.940002,67.940002,1068200
9/7/2018,67.410004,69.629997,66.940002,69.059998,69.059998,730600
9/10/2018,69.239998,70.114998,68.758003,69.949997,69.949997,812200
9/11/2018,70.410004,71.760002,69.949997,70.660004,70.660004,1037000
9/12/2018,70.339996,71.169998,69.129997,70.669998,70.669998,780700
9/13/2018,70.709999,71.809998,70.290001,70.550003,70.550003,1207800
9/14/2018,70.580002,72.230003,70.300003,71.940002,71.940002,1180600
9/17/2018,71.540001,72.18,67.440002,67.690002,67.690002,1726200
9/18/2018,67.980003,69.980003,67.919998,68.510002,68.510002,2076200
9/19/2018,68.459999,69.120003,66.540001,67.230003,67.230003,1060600
9/20/2018,67.199997,68.239998,66.349998,67.970001,67.970001,729300
9/21/2018,68.290001,68.889999,67.110001,67.309998,67.309998,958200
9/24/2018,66.75,68.779999,65.889999,68.550003,68.550003,1029700
9/25/2018,68.870003,72.050003,68.559998,71.370003,71.370003,1918200
9/26/2018,71.639999,71.879997,70.220001,71.160004,71.160004,1235500
9/27/2018,71.169998,72.059998,70.139999,70.809998,70.809998,874400
9/28/2018,70.25,71.82,70.25,71,71,1021600
10/1/2018,71.43,72.760002,69.089996,69.199997,69.199997,907500
10/2/2018,69.709999,70.010002,67.169998,67.639999,67.639999,1456100
10/3/2018,67.959999,68.889999,67.059998,67.879997,67.879997,1126300
10/4/2018,67.68,67.989998,65.900002,66.669998,66.669998,887500
10/5/2018,66.510002,68.029999,64.599998,65.800003,65.800003,1252500
10/8/2018,65.269997,65.889999,62.23,63.669998,63.669998,2357800
10/9/2018,63.799999,65.790001,62.639999,63.290001,63.290001,1760800
10/10/2018,62.919998,63.080002,59.669998,60.07,60.07,1812800
10/11/2018,59.5,61.09,58.509998,59.169998,59.169998,1919200
10/12/2018,61.439999,62.5,60.18,61.610001,61.610001,1745400
10/15/2018,61.43,61.73,59.599998,60.639999,60.639999,1978100
10/16/2018,62.330002,63.360001,61.540001,63.220001,63.220001,1832100
10/17/2018,63.700001,63.828999,62,62.959999,62.959999,1459400
10/18/2018,62.490002,63.580002,60.619999,61.700001,61.700001,1675900
10/19/2018,62.369999,62.849998,57.709999,57.82,57.82,2129300
10/22/2018,58,59.59,57.529999,58.740002,58.740002,1743600
10/23/2018,57.400002,59.82,56.82,59.310001,59.310001,1629800
10/24/2018,59.470001,59.845001,55.630001,55.700001,55.700001,2117400
10/25/2018,56.560001,57.509998,55.5,56.91,56.91,1773400
10/26/2018,55.209999,56.75,54.080002,55.68,55.68,1756300
10/29/2018,56.869999,58.439999,53.205002,54.189999,54.189999,3224900
10/30/2018,53.830002,54.82,52.549999,53.759998,53.759998,4765400
10/31/2018,56.23,58.27,53.939999,54.970001,54.970001,5213000
11/1/2018,54.830002,55.32,52.68,55.150002,55.150002,2954900
11/2/2018,55.040001,57,54.790001,55.169998,55.169998,2263400
11/5/2018,55.110001,55.169998,52.439999,53.330002,53.330002,1584100
11/6/2018,53.119999,54.049999,51.93,53.009998,53.009998,1508200
11/7/2018,53.560001,58.34,53.548,57.639999,57.639999,3361100
11/8/2018,57.599998,58.029999,54.919998,55.549999,55.549999,1376200
11/9/2018,54.849998,55,52.779999,54.400002,54.400002,1575900
11/12/2018,54.700001,55.360001,51.669998,53.189999,53.189999,2034500
11/13/2018,53.240002,54.380001,52.119999,52.549999,52.549999,2116200
11/14/2018,53.389999,54,52.66,53.099998,53.099998,2370800
11/15/2018,53.459999,56.110001,52.220001,55.970001,55.970001,3195900
11/16/2018,55.369999,56.799999,54.400002,54.919998,54.919998,3359000
11/19/2018,54.540001,55.82,47.869999,48.369999,48.369999,4904000
11/20/2018,45.599998,51,45.599998,49.369999,49.369999,3862500
11/21/2018,50.549999,52.52,50.375,51.799999,51.799999,2136300
11/23/2018,51.029999,53.52,51.029999,53.099998,53.099998,855200
11/26/2018,53.759998,54.470001,52.799999,54.16,54.16,3193600
11/27/2018,53.77,53.775002,51.369999,52.549999,52.549999,1752500
11/28/2018,53.610001,57.75,53.610001,57.439999,57.439999,2544600
11/29/2018,57.040001,59.040001,56.84,58.290001,58.290001,1493100
11/30/2018,58.75,60.09,58.419998,59.43,59.43,1830100
12/3/2018,61.18,61.389999,59.349998,61.389999,61.389999,1753700
12/4/2018,60.619999,61.259998,58.310001,58.48,58.48,1659300
12/6/2018,56.889999,60.095001,56.709999,59.880001,59.880001,2318000
12/7/2018,60.369999,61.799999,57.150002,58.400002,58.400002,1762800
12/10/2018,57.950001,59.98,57.240002,58.599998,58.599998,1194600
12/11/2018,59.639999,59.957001,58.23,58.529999,58.529999,821900
12/12/2018,59.560001,62.720001,59.43,60.610001,60.610001,3617500
12/13/2018,60.790001,61.41,60.080002,61.169998,61.169998,2478900
12/14/2018,60,61.060001,58.889999,59.860001,59.860001,1622100
