,PayPal,Square
2017-09-05,61.27,25.77
2017-09-06,61.25,26.07
2017-09-07,62.0,26.31
2017-09-08,61.13,26.53
2017-09-11,62.64,27.58
2017-09-12,62.56,27.25
2017-09-13,62.01,27.48
2017-09-14,62.24,28.64
2017-09-15,62.51,28.5
2017-09-18,62.91,28.675
2017-09-19,63.82,28.56
2017-09-20,64.75,28.48
2017-09-21,64.62,28.41
2017-09-22,65.09,28.74
2017-09-25,63.52,27.46
2017-09-26,62.94,27.61
2017-09-27,63.33,28.06
2017-09-28,63.93,28.48
2017-09-29,64.03,28.81
2017-10-02,64.17,29.38
2017-10-03,64.23,29.94
2017-10-04,64.01,30.14
2017-10-05,65.83,30.76
2017-10-06,66.04,30.78
2017-10-09,66.23,31.07
2017-10-10,66.04,31.32
2017-10-11,67.78,31.9965
2017-10-12,68.87,32.82
2017-10-13,68.66,32.81
2017-10-16,67.31,33.22
2017-10-17,66.68,32.69
2017-10-18,67.26,32.52
2017-10-19,67.27,32.1103
2017-10-20,70.99,32.495
2017-10-23,69.84,32.52
2017-10-24,70.2,32.71
2017-10-25,71.03,32.9
2017-10-26,71.33,34.11
2017-10-27,71.06,35.2
2017-10-30,71.13,35.75
2017-10-31,72.57,37.19
2017-11-01,72.38,36.47
2017-11-02,72.24,36.08
2017-11-03,73.38,36.89
2017-11-06,74.74,37.19
2017-11-07,74.4,36.77
2017-11-08,74.775,36.71
2017-11-09,74.1,37.97
2017-11-10,73.98,39.2
2017-11-13,74.03,39.99
2017-11-14,74.49,39.75
2017-11-15,73.43,40.66
2017-11-16,77.7,41.89
2017-11-17,76.37,44.18
2017-11-20,76.01,45.22
2017-11-21,77.77,48.07
2017-11-22,77.59,48.81
2017-11-24,78.55,48.86
2017-11-27,77.84,41.0001
2017-11-28,77.79,42.55
2017-11-29,73.2501,39.12
2017-11-30,75.64,39.2099
2017-12-01,75.3,38.22
2017-12-04,70.93,36.86
2017-12-05,71.17,37.595
2017-12-06,73.14,37.6148
2017-12-07,73.69,38.7299
2017-12-08,72.91,38.082
2017-12-11,73.28,38.31
2017-12-12,73.62,38.08
2017-12-13,74.09,36.215
2017-12-14,74.27,37.02
2017-12-15,75.53,37.02
2017-12-18,75.32,37.76
2017-12-19,74.49,36.91
2017-12-20,73.97,35.66
2017-12-21,74.02,35.87
2017-12-22,73.89,35.13
2017-12-26,74.28,35.05
2017-12-27,74.58,35.74
2017-12-28,74.17,35.11
2017-12-29,73.63,34.67
2018-01-02,73.83,36.1786
2018-01-03,76.77,37.31
2018-01-04,76.72,38.1
2018-01-05,78.64,41.14
2018-01-08,79.04,40.77
2018-01-09,79.2,40.8764
2018-01-10,79.36,40.84
2018-01-11,79.74,42.29
2018-01-12,80.47,41.25
2018-01-16,80.42,39.32
2018-01-17,82.48,40.07
2018-01-18,82.96,40.26
2018-01-19,83.82,42.54
2018-01-22,83.95,45.3
2018-01-23,84.18,45.02
